A1,A2,A3,A4,A5,A6,A7
0.55,0.71,0.29,0.51,0.89,0.90,0.13
0.21,0.05,0.44,0.03,0.46,0.65,0.28
0.68,0.59,0.02,0.56,0.26,0.42,0.28
0.69,0.44,0.16,0.54,0.78,0.31,0.22
0.39,0.94,0.98,0.67,0.90,0.85,0.38
0.09,0.65,0.56,0.36,0.23,0.41,0.47
0.27,0.29,0.46,0.86,0.59,0.28,0.28
0.45,0.21,0.20,0.51,0.09,0.48,0.36
0.71,0.75,0.69,0.69,0.37,0.67,0.34
0.57,0.33,0.45,0.06,0.24,0.97,0.23
0.69,0.65,0.72,0.48,0.60,0.07,0.07
0.20,0.15,0.10,0.13,0.55,0.19,0.95
0.68,0.54,0.71,0.26,0.93,0.84,0.73
0.48,0.84,0.74,0.66,0.91,0.63,0.37
0.55,0.20,0.19,0.73,0.78,0.97,0.85
0.54,0.09,0.49,0.93,0.79,0.49,0.46
0.22,0.18,0.07,0.89,0.64,0.14,0.41
0.05,0.21,0.73,0.65,0.48,0.27,0.65
0.96,0.44,0.07,0.06,0.08,0.96,0.54
0.84,0.17,0.26,0.69,0.90,0.34,0.06
