A1,A2,A3,A4,A5,A6,A7
0.83,0.88,0.86,0.85,1.00,0.93,0.45
0.00,0.09,0.76,0.15,0.56,0.49,0.69
0.94,0.74,0.58,0.81,0.66,0.92,0.53
0.89,0.77,0.63,0.86,0.92,0.80,0.64
0.77,1.00,1.00,0.99,0.98,0.87,0.84
0.77,0.95,0.96,0.82,0.12,0.71,0.51
0.72,0.87,0.78,0.93,0.72,0.54,0.53
0.91,0.61,0.90,0.74,0.00,0.87,0.19
0.92,0.97,1.00,0.98,0.82,0.92,0.71
0.76,0.46,0.96,0.27,0.57,0.89,0.55
1.00,0.94,0.80,0.61,0.60,0.36,0.00
0.25,0.00,0.00,0.00,0.25,0.00,0.89
0.85,0.88,0.98,0.84,1.00,0.92,1.00
0.83,0.99,0.97,0.98,0.97,0.86,0.83
0.76,0.65,0.77,0.99,0.98,0.92,0.99
0.76,0.65,0.88,1.00,0.91,0.77,0.85
0.57,0.43,0.08,0.77,0.58,0.28,0.69
0.53,0.91,0.79,0.94,0.33,0.26,0.71
0.95,0.49,0.84,0.28,0.12,1.00,0.68
0.83,0.53,0.73,0.75,0.92,0.76,0.21
